Element  Group  Fit_Area  Sigma_Area  Mass_fraction  Layer0  
Cr  Ka  1.873774e+01  1.15e+01  2.171e-09  2.171e-09  
Cr  Kb  1.058547e+02  2.73e+01  7.545e-08  7.545e-08  
Mn  Ka  7.459365e+01  2.91e+01  5.661e-09  5.661e-09  
Mn  Kb  8.243299e+01  2.80e+01  3.783e-08  3.783e-08  
Fe  Ka  1.965134e+02  2.66e+01  9.82e-09  9.82e-09  
Fe  Kb  8.231572e+02  3.59e+01  2.547e-07  2.547e-07  
Co  Ka  2.793850e+02  2.78e+01  9.998e-09  9.998e-09  
Co  Kb  1.836140e+03  1.02e+02  4.157e-07  4.157e-07  
Ni  Ka  5.233753e+05  7.28e+02  1.321e-05  1.321e-05  
Ni  Kb  8.875255e+04  2.98e+02  1.446e-05  1.446e-05  
Zr  Ka  9.005013e+01  1.75e+01  3.534e-10  3.534e-10  
Zr  Kb  1.427289e+01  9.82e+00  2.946e-10  2.946e-10  
Mo  Ka  1.540021e+01  6.90e+00  5.082e-11  5.082e-11  
Mo  Kb  8.082651e+01  1.67e+01  1.365e-09  1.365e-09  
Ag  Ka  7.005103e+02  3.38e+01  1.672e-09  1.672e-09  
Ag  Kb  2.956915e+02  2.97e+01  3.524e-09  3.524e-09  
Cd  Ka  1.931151e+02  2.59e+01  4.51e-10  4.51e-10  
Cd  Kb  1.549149e+02  2.78e+01  1.802e-09  1.802e-09  
