Element  Group  Fit_Area  Sigma_Area  Mass_fraction  Layer0  
Cr  Ka  1.768610e+05  4.20e+02  2.049e-05  2.049e-05  
Cr  Kb  2.635940e+04  2.70e+02  1.879e-05  1.879e-05  
Mn  Ka  3.679962e+03  2.27e+02  2.793e-07  2.793e-07  
Mn  Kb  1.072118e+01  6.04e+00  4.92e-09  4.92e-09  
Fe  Ka  2.109896e+01  8.32e+00  1.054e-09  1.054e-09  
Fe  Kb  7.621562e+00  3.56e+00  2.358e-09  2.358e-09  
Co  Ka  4.238175e+00  4.15e+00  1.517e-10  1.517e-10  
Co  Kb  6.785172e+00  4.95e+00  1.536e-09  1.536e-09  
Ni  Ka  9.765800e+01  1.14e+01  2.464e-09  2.464e-09  
Ni  Kb  1.181678e+01  6.08e+00  1.925e-09  1.925e-09  
Zr  Ka  1.574455e+01  7.47e+00  6.178e-11  6.178e-11  
Zr  Kb  9.899239e+00  1.77e+01  2.043e-10  2.043e-10  
Mo  Ka  6.751590e+02  3.00e+01  2.228e-09  2.228e-09  
Mo  Kb  1.498292e+02  2.32e+01  2.53e-09  2.53e-09  
Ag  Ka  1.139058e+03  4.43e+01  2.719e-09  2.719e-09  
Ag  Kb  4.487736e+02  3.84e+01  5.348e-09  5.348e-09  
Cd  Ka  2.362835e+02  3.27e+01  5.518e-10  5.518e-10  
Cd  Kb  5.506669e+01  3.18e+01  6.406e-10  6.406e-10  
