Element  Group  Fit_Area  Sigma_Area  Mass_fraction  Layer0  
Cr  Ka  3.312619e+02  2.06e+01  3.838e-08  3.838e-08  
Cr  Kb  4.959334e+03  1.47e+03  3.535e-06  3.535e-06  
Mn  Ka  2.337781e+05  1.54e+03  1.774e-05  1.774e-05  
Mn  Kb  3.766684e+04  2.48e+02  1.729e-05  1.729e-05  
Fe  Ka  3.429051e+03  1.66e+02  1.713e-07  1.713e-07  
Fe  Kb  1.393370e+01  4.53e+00  4.311e-09  4.311e-09  
Co  Ka  7.337144e-01  6.26e+00  2.626e-11  2.626e-11  
Co  Kb  1.491917e+01  3.43e+00  3.378e-09  3.378e-09  
Ni  Ka  1.272055e+02  1.27e+01  3.21e-09  3.21e-09  
Ni  Kb  1.824499e+01  6.44e+00  2.972e-09  2.972e-09  
Zr  Ka  6.884520e+00  5.16e+00  2.702e-11  2.702e-11  
Zr  Kb  3.739195e+00  1.00e+01  7.717e-11  7.717e-11  
Mo  Ka  2.786761e+01  1.04e+01  9.195e-11  9.195e-11  
Mo  Kb  3.801634e+01  1.78e+01  6.421e-10  6.421e-10  
Ag  Ka  9.536903e+02  4.13e+01  2.276e-09  2.276e-09  
Ag  Kb  4.390208e+02  3.69e+01  5.232e-09  5.232e-09  
Cd  Ka  2.615365e+02  3.14e+01  6.108e-10  6.108e-10  
Cd  Kb  1.342170e+02  3.12e+01  1.561e-09  1.561e-09  
