Element  Group  Fit_Area  Sigma_Area  Mass_fraction  Layer0  
Cr  Ka  2.784922e+04  1.68e+02  3.227e-06  3.227e-06  
Cr  Kb  4.310525e+03  1.23e+02  3.072e-06  3.072e-06  
Mn  Ka  2.950692e+03  1.18e+02  2.239e-07  2.239e-07  
Mn  Kb  4.479828e+02  1.57e+02  2.056e-07  2.056e-07  
Fe  Ka  7.578168e+04  3.15e+02  3.787e-06  3.787e-06  
Fe  Kb  1.213627e+04  1.16e+02  3.755e-06  3.755e-06  
Co  Ka  5.917834e+02  4.47e+01  2.118e-08  2.118e-08  
Co  Kb  2.199712e+01  1.35e+01  4.98e-09  4.98e-09  
Ni  Ka  1.009113e+04  1.02e+02  2.546e-07  2.546e-07  
Ni  Kb  1.817637e+03  4.32e+01  2.961e-07  2.961e-07  
Zr  Ka  7.586563e+00  6.92e+00  2.977e-11  2.977e-11  
Zr  Kb  1.562026e+02  5.28e+01  3.224e-09  3.224e-09  
Mo  Ka  2.774354e+04  1.73e+02  9.155e-08  9.155e-08  
Mo  Kb  5.299924e+03  7.72e+01  8.951e-08  8.951e-08  
Ag  Ka  5.123807e+02  3.35e+01  1.223e-09  1.223e-09  
Ag  Kb  2.870727e+02  2.93e+01  3.421e-09  3.421e-09  
Cd  Ka  2.381953e+02  2.96e+01  5.563e-10  5.563e-10  
Cd  Kb  1.090938e+02  2.21e+01  1.269e-09  1.269e-09  
