Element  Group  Fit_Area  Sigma_Area  Mass_fraction  Layer0  
Cr  Ka  2.784814e+04  1.68e+02  1.506e+04  1.506e+04  
Cr  Kb  4.319670e+03  1.23e+02  136.7  136.7  
Mn  Ka  2.940278e+03  1.18e+02  14.57  14.57  
Mn  Kb  4.181542e+02  1.58e+02  0.2623  0.2623  
Fe  Ka  7.580989e+04  3.15e+02  8.624  8.624  
Fe  Kb  1.214741e+04  1.16e+02  0.3501  0.3501  
Co  Ka  5.808802e+02  4.47e+01  0.003386  0.003386  
Co  Kb  2.870641e+01  1.35e+01  7.481e-05  7.481e-05  
Ni  Ka  1.009418e+04  1.02e+02  0.005159  0.005159  
Ni  Kb  1.818305e+03  4.32e+01  0.0006508  0.0006508  
Mo  Ka  2.785820e+04  1.68e+02  9.101e-06  9.101e-06  
Mo  Kb  5.322552e+03  7.76e+01  2.62e-06  2.62e-06  
